name, num_atoms, energy, time_to_load, time_to_parameterize, time_to_energy_minimize
PEO_PLGA, 96, 1070.672560671407 kJ/mol, 0.40088343620300293, 6.705286264419556, 0.16938233375549316
atactic_styrene-s9, 9090, 80010.56976788107 kJ/mol, 3.8274617195129395, 63.978657484054565, 63.3062219619751
atactic_styrene, 162, 1338.8906959481203 kJ/mol, 0.7896473407745361, 3.1311349868774414, 0.06961655616760254
bisphenolA, 331, 2691.276455155585 kJ/mol, 0.9413237571716309, 3.9673264026641846, 0.10416913032531738
naturalrubber-s49, 49147, 360102.50891990896 kJ/mol, 22.632508754730225, 322.7438323497772, 883.5157606601715
naturalrubber, 106, 746.4253394019091 kJ/mol, 0.8150620460510254, 2.821162223815918, 0.2577395439147949
paam_modified-s64, 64128, 340122.7052367572 kJ/mol, 31.68476700782776, 496.2651937007904, 1302.781975030899
paam_modified, 422, 1828.0261461584862 kJ/mol, 1.0272538661956787, 4.697533369064331, 0.3386092185974121
PAMAM, 530, 13318.471072218299 kJ/mol, 0.9716963768005371, 5.041112661361694, 0.9135591983795166
peg_modified-s49, 49147, 518105.9362275668 kJ/mol, 33.16910195350647, 316.9456613063812, 169.9905185699463
peg_modified, 261, 2705.7023395072115 kJ/mol, 0.8323280811309814, 3.5695955753326416, 0.2712852954864502
polyethylene-s9, 9036, 72176.00852311969 kJ/mol, 5.284469127655029, 66.32139182090759, 21.43507719039917
polyethylene, 4808, 39028.26552001173 kJ/mol, 3.8149166107177734, 34.21205425262451, 3.3485257625579834
polyethylmethacrylate-s81, 81810, 801880.1034265149 kJ/mol, 44.9833083152771, 557.2606720924377, 2882.887117624283
polyethylmethacrylate, 110, 970.5116300869045 kJ/mol, 0.8427774906158447, 2.877629518508911, 0.07117342948913574
polymethylketone, 118, 1294.1508489400617 kJ/mol, 0.9318251609802246, 3.059735059738159, 0.05541205406188965
polyphenyleneI, 262, 2934.081655601751 kJ/mol, 0.9226350784301758, 3.726780891418457, 0.09468674659729004
polyphenyleneII, 145, 1606.7996035853703 kJ/mol, 0.8263609409332275, 3.2379088401794434, 0.059357404708862305
PolyphenyleneIII, 372, 4211.106805379281 kJ/mol, 0.9907584190368652, 4.19969367980957, 0.13482928276062012
polyphenylenesulfone-s16, 16048, 180072.19307526058 kJ/mol, 9.824802875518799, 104.70631003379822, 15.720582246780396
polyphenylenesulfone, 106, 1143.597562588585 kJ/mol, 0.7365691661834717, 2.814734935760498, 0.2259831428527832
polythiophene, 192, 1804.7894227541453 kJ/mol, 0.8325536251068115, 3.2224793434143066, 0.17986321449279785
polyvinylchloride-s81, 81324, 803809.1331287972 kJ/mol, 51.68271279335022, 607.8687655925751, 2162.3668904304504
polyvinylchloride, 62, 507.03722423644103 kJ/mol, 0.8425784111022949, 2.671926975250244, 0.030347108840942383
syntactic_styrene-s49, 49490, 447559.34347273834 kJ/mol, 21.09253239631653, 347.22822642326355, 493.5317471027374
